Sample,Total Sequences
SRR6743909,425720
SRR6743910,142855
SRR6743911,889282
SRR6743912,714380
SRR6743913,34904
SRR6743914,791838
SRR6743915,100174
SRR6743916,1457803
SRR6743917,324691
SRR6743918,239704
SRR6743919,77962
SRR6743921,110923
SRR6743922,60402
SRR6743923,526647
SRR6743925,97345
SRR6743926,343971
SRR6743928,229722
SRR6743929,37210
SRR6743931,61885
SRR6743932,58273
SRR6743934,892255
SRR6743935,302153
SRR6743937,3508
SRR6743939,478534
SRR6743940,329937
SRR6743941,64400
SRR6743942,159823
SRR6743944,1172264
SRR6743945,417432
SRR6743946,4234749
SRR6743947,568092
SRR6743948,285173
SRR6743951,100900
SRR6743952,3012770
SRR6743953,176357
SRR6743954,1077636
SRR6743955,642717
SRR6743956,72231
SRR6743957,13906
SRR6743958,508237
SRR6743959,200510
SRR6743961,425363
SRR6743962,704651
SRR6743963,297353
SRR6743964,1452416
SRR6743969,278292
SRR6743970,491961
SRR6743972,484814
SRR6743973,361163
SRR6743976,103458
SRR6743978,4645911
SRR6743979,1476676
SRR6743980,685136
SRR6743981,4766771
SRR6743982,2791526
SRR6743983,464350
SRR6743985,201356
SRR6743986,10770744
SRR6743987,224061
SRR6743988,685982
SRR6743989,90305
SRR6743991,6864238
SRR6743992,68268
SRR6743994,52660
SRR6743996,96706
SRR6743997,662144
SRR6743998,90939
SRR6743999,505787
SRR6744000,1374476
SRR6744001,861664
SRR6744002,1009984
SRR6744003,35371
SRR6744004,163016
SRR6744005,20207
SRR6744006,290253
SRR6744007,9395
SRR6744008,437
SRR6744009,2523798
SRR6744010,306311
SRR6744011,439827
SRR6744012,631602
SRR6744013,313239
SRR6744014,79499
SRR6744015,364380
SRR6744016,247406
SRR6744017,193042
SRR6744019,63139
SRR6744020,1771065
SRR6744022,1048446
SRR6744023,2825247
SRR6744024,92563
SRR6744025,64079
SRR6744026,117625
SRR6744027,71989
SRR6744028,119897
SRR6744031,410229
SRR6744033,3506820
SRR6744034,50447
SRR6744036,3026073
SRR6744037,159568
SRR6744039,259125
SRR6744040,269633
SRR6744041,2721625
SRR6744042,257134
SRR6744043,2270042
SRR6744044,224701
SRR6744045,1781
SRR6744046,1213958
SRR6744048,67489
SRR6744049,414726
SRR6744050,317101
SRR6744051,984336
SRR6744052,1555662
SRR6744053,375009
SRR6744054,125421
SRR6744061,63499
SRR6744062,141638
SRR6744063,2547009
SRR6744064,1905104
SRR6744065,343428
SRR6744066,1073311
SRR6744067,1157726
SRR6744068,823533
SRR6744069,88284
SRR6744070,54961
SRR6744071,205836
SRR6744072,611346
SRR6744073,321027
SRR6744076,479761
SRR6744077,64775
SRR6744078,1568632
SRR6744079,348940
SRR6744080,233799
SRR6744081,46134
SRR6744082,501145
SRR6744083,1663441
SRR6744084,47211
SRR6744085,143487
SRR6744088,61464
SRR6744089,303874
SRR6744090,394826
SRR6744091,115121
SRR6744093,1493282
SRR6744096,224128
SRR6744098,7649881
SRR6744100,95004
SRR6744102,196440
SRR6744103,729897
SRR6744104,327332
SRR6744106,596356
SRR6744109,88506
SRR6744110,637871
SRR6744111,13488
SRR6744112,247190
SRR6744113,1312072
SRR6744115,128132
SRR6744117,66441
SRR6744118,311535
SRR6744119,101412
SRR6744120,360020
SRR6744123,11419530
SRR6744124,144504
SRR6744127,192215
SRR6744128,159279
SRR6744129,4632441
SRR6744130,93713
SRR6744131,127626
SRR6744132,66366
SRR6744135,308968
SRR6744136,1464475
SRR6744137,351280
SRR6744138,98506
SRR6744140,59682
SRR6744143,658722
SRR6744145,1857178
SRR6744146,78747
SRR6744147,179812
SRR6744148,53052
SRR6744149,1303030
SRR6744150,152931
SRR6744153,181211
SRR6744154,173189
SRR6744155,78725
SRR6744158,11287
SRR6744159,394917
SRR6744160,333372
SRR6744161,1022191
SRR6744162,314278
SRR6744163,155046
SRR6744165,729126
SRR6744167,319057
SRR6744168,438290
SRR6744171,3252432
SRR6744174,413376
SRR6744175,232268
SRR6744177,267188
SRR6744178,237291
SRR6744179,75945
SRR6744180,67859
SRR6744181,5283
SRR6744182,82509
SRR6744183,76609
SRR6744184,8409
SRR6744185,134370
SRR6744186,145675
SRR6744187,603329
SRR6744189,107511
SRR6744190,924261
SRR6744191,913931
SRR6744193,269499
SRR6744194,422221
SRR6744195,720096
SRR6744197,3387
SRR6744198,2176784
SRR6744199,126839
SRR6744201,411993
SRR6744202,8477975
SRR6744203,127009
SRR6744204,327825
SRR6744205,352707
SRR6744206,70508
SRR6744210,279831
SRR6744211,1038095
SRR6744212,100637
SRR6744213,96292
SRR6744214,159232
SRR6744215,16962
SRR6744216,4177752
SRR6744217,63459
SRR6744220,243694
SRR6744221,103337
SRR6744222,327706
SRR6744223,115668
SRR6744224,134506
SRR6744225,145927
SRR6744226,76954
SRR6744227,159057
SRR6744228,2003385
SRR6744229,4532226
SRR6744230,442140
SRR6744233,635358
SRR6744234,248257
SRR6744235,181461
SRR6744236,6123442
SRR6744237,2782580
SRR6744239,112666
SRR6744241,317705
SRR6744242,658320
SRR6744243,341576
SRR6744244,92455
SRR6744245,134764
SRR6744247,108915
SRR6744249,905849
SRR6744251,118716
SRR6744252,714366
SRR6744253,134859
SRR6744255,407909
SRR6744256,54759
SRR6744258,68684
SRR6744259,310082
SRR6744263,1226261
SRR6744264,68281
SRR6744266,6418335
SRR6744267,83454
SRR6744268,122044
SRR6744269,305400
SRR6744271,313476
SRR6744272,2302765
SRR6744273,257964
SRR6744274,42876
SRR6744275,50288
SRR6744276,4882087
SRR6744277,13755
SRR6744278,308802
SRR6744280,80922
SRR6744281,1275515
SRR6744283,90341
SRR6744284,526819
SRR6744285,95707
SRR6744286,1071082
SRR6744287,670401
SRR6744289,182373
SRR6744290,575427
SRR6744292,48230
SRR6744293,295437
SRR6744294,2748014
SRR6744296,93065
SRR6744298,7345
SRR6744299,92127
SRR6744300,332947
SRR6744301,46962
SRR6744302,377335
SRR6744306,159562
SRR6744307,2249776
SRR6744309,4556765
SRR6744310,1441190
SRR6744311,1474712
SRR6744312,161690
SRR6744314,199151
SRR6744315,32435
SRR6744316,2448545
SRR6744317,160549
SRR6744318,10004784
SRR6744319,143772
SRR6744320,814009
SRR6744321,79996
SRR6744323,90836
SRR6744324,588397
SRR6744325,857513
SRR6744327,427498
SRR6744328,475477
SRR6744330,174558
SRR6744332,705992
SRR6744333,115134
SRR6744334,53781
SRR6744336,338283
SRR6744337,788791
SRR6744340,527693
SRR6744341,359788
SRR6744344,479075
SRR6744345,879175
SRR6744346,12723
SRR6744347,2553366
SRR6744348,1169775
SRR6744349,93818
SRR6744350,213444
SRR6744351,788974
SRR6744352,116749
SRR6744353,4642773
SRR6744354,7325782
SRR6744355,3686
SRR6744357,5736097
SRR6744358,38516
SRR6744359,181168
SRR6744361,223723
SRR6744362,13597
SRR6744363,309646
SRR6744364,211668
SRR6744368,337283
SRR6744369,389924
SRR6744372,1124911
SRR6744373,74213
SRR6744374,97911
SRR6744375,48775
SRR6744377,543858
SRR6744379,123302
SRR6744380,2284353
SRR6744382,645497
SRR6744383,55783
SRR6744384,174380
SRR6744385,65129
SRR6744386,90755
SRR6744387,136060
SRR6744388,1180732
SRR6744389,209680
SRR6744390,75728
SRR6744392,59396
SRR6744394,627881
SRR6744395,118390
SRR6744396,104330
SRR6744397,2422560
SRR6744398,3515659
SRR6744399,158061
SRR6744400,3202632
SRR6744402,1895241
SRR6744404,151989
SRR6744406,11304
SRR6744407,1293843
SRR6744408,8452320
SRR6744409,925105
SRR6744410,495366
SRR6744411,144864
SRR6744412,756671
SRR6744413,264579
SRR6744414,613122
SRR6744416,429950
SRR6744417,41546
SRR6744418,201932
SRR6744419,636732
SRR6744420,76218
SRR6744424,52804
SRR6744425,203308
SRR6744426,4405515
SRR6744427,217454
SRR6744428,861123
SRR6744430,6359
SRR6744433,455464
SRR6744435,719708
SRR6744436,5177749
SRR6744437,112808
SRR6744438,358519
SRR6744439,1822877
SRR6744440,123236
SRR6744442,67173
SRR6744446,5453669
SRR6744447,158290
SRR6744449,286619
SRR6744450,108013
SRR6744451,150216
SRR6744452,192811
SRR6744453,212140
SRR6744456,115
SRR6744457,20718038
SRR6744459,11533329
SRR6744462,52476
SRR6744463,386658
SRR6744464,6002977
SRR6744466,75594
SRR6744467,274345
SRR6744468,6502184
SRR6744469,48481
SRR6744472,463775
SRR6744473,506658
SRR6744474,481934
SRR6744475,156493
SRR6744478,131628
SRR6744479,73127
SRR6744481,5887996
SRR6744483,335207
SRR6744484,63065
SRR6744486,836435
SRR6744489,721622
SRR6744490,55142
SRR6744491,286470
SRR6744492,62080
SRR6744493,349880
SRR6744494,207805
SRR6744495,73062
SRR6744496,955208
SRR6744498,762224
SRR6744500,1282829
SRR6744502,89526
SRR6744503,707737
SRR6744504,1492801
SRR6744505,302810
SRR6744506,349409
SRR6744508,143982
SRR6744509,324760
SRR6744510,731242
SRR6744511,222236
SRR6744512,2130969
SRR6744513,301390
SRR6744514,4865318
SRR6744515,279640
SRR6744516,1451530
SRR6744520,3777
SRR6744522,5739731
SRR6744524,341454
SRR6744525,92285
SRR6744526,179368
SRR6744527,109084
SRR6744528,487525
SRR6744529,6217260
SRR6744530,33369
SRR6744531,1545534
SRR6744532,1344755
SRR6744533,627945
SRR6744534,109372
SRR6744536,610554
SRR6744537,23130
SRR6744538,10856
SRR6744540,203851
SRR6744541,110807
SRR6744542,128457
SRR6744543,422242
SRR6744544,45668
SRR6744545,406614
SRR6744548,53963
SRR6744549,66633
SRR6744550,293843
SRR6744551,327087
SRR6744552,1619201
SRR6744554,97578
SRR6744555,153557
SRR6744556,1213411
SRR6744557,3091774
SRR6744558,5356851
SRR6744559,29298
SRR6744560,2290936
SRR6744561,326203
SRR6744566,107412
SRR6744568,149223
SRR6744569,309272
SRR6744570,213995
SRR6744572,239365
SRR6744573,344819
SRR6744575,1377292
SRR6744577,127825
SRR6744578,367025
SRR6744579,154028
SRR6744580,415108
SRR6744582,275728
SRR6744583,183841
SRR6744584,129224
SRR6744585,5140263
SRR6744586,497137
SRR6744587,183982
SRR6744588,91542
SRR6744589,807870
SRR6744590,905918
SRR6744591,972279
SRR6744592,19575
SRR6744594,28696
SRR6744595,4327858
SRR6744596,377363
SRR6744597,292520
SRR6744598,448604
SRR6744601,63569
SRR6744602,298392
SRR6744604,2697484
SRR6744605,1913133
SRR6744607,185069
SRR6744608,351486
SRR6744610,2193238
SRR6744612,444350
SRR6744614,3500068
SRR6744615,685996
SRR6744616,58055
SRR6744617,179016
SRR6744618,84
SRR6744621,556736
SRR6744622,1465989
SRR6744624,71807
SRR6744625,5749388
SRR6744626,27523
SRR6744627,118289
SRR6744628,297238
SRR6744631,809858
SRR6744633,505787
SRR6744634,1077913
SRR6744636,89541
SRR6744637,149963
SRR6744640,60889
SRR6744641,8684339
SRR6744642,56056
SRR6744643,478504
SRR6744644,976968
SRR6744645,61361
SRR6744646,20048
SRR6744647,3326749
SRR6744648,2240826
SRR6744650,949661
SRR6744651,174724
SRR6744652,3843640
SRR6744654,915888
SRR6744655,384875
SRR6744656,8280965
SRR6744657,323436
SRR6744659,183598
SRR6744660,485334
SRR6744661,82907
SRR6744662,120271
SRR6744663,97708
SRR6744664,5196823
SRR6744666,831914
SRR6744668,986922
SRR6744669,77843
SRR6744670,65296
SRR6744671,128250
SRR6744672,1597956
SRR6744675,367556
SRR6744676,66654
SRR6744677,3187040
SRR6744678,189523
SRR6744679,99824
SRR6744681,902878
SRR6744682,13450
SRR6744683,189172
SRR6744686,768314
SRR6744687,411703
SRR6744688,439426
SRR6744690,162957
SRR6744691,135462
SRR6744692,177245
SRR6744693,72761
SRR6744694,110431
SRR6744697,525899
SRR6744698,98695
SRR6744699,284753
SRR6744700,272983
SRR6744703,639585
SRR6744704,277331
SRR6744706,338536
SRR6744708,22243
SRR6744709,73751
SRR6744711,404325
SRR6744712,718204
SRR6744714,1023616
SRR6744715,465512
SRR6744716,3728323
SRR6744717,125606
SRR6744719,111250
SRR6744720,727993
SRR6744721,673486
SRR6744722,21516732
SRR6744724,907605
SRR6744725,299296
SRR6744727,134380
SRR6744728,180546
SRR6744730,307062
SRR6744731,96082
SRR6744732,584268
SRR6744733,2641885
SRR6744734,256324
SRR6744736,160762
SRR6744737,5274
SRR6744738,2799389
SRR6744740,424987
SRR6744741,1045034
SRR6744742,89904
SRR6744743,328810
SRR6744744,184356
SRR6744746,430741
SRR6744748,954732
SRR6744750,1210694
SRR6744751,475024
SRR6744752,139473
SRR6744753,769872
SRR6744754,70026
SRR6744755,300007
SRR6744757,1036838
SRR6744761,111705
SRR6744762,401985
SRR6744763,192172
SRR6744764,170327
SRR6744765,187393
SRR6744767,304192
SRR6744768,121047
SRR6744769,143000
SRR6744771,149598
SRR6744772,41013
SRR6744773,1216587
SRR6744774,7271
SRR6744775,264386
SRR6744776,485
SRR6744779,113898
SRR6744781,976785
SRR6744782,399492
SRR6744784,1147967
SRR6744785,142975
SRR6744786,97977
SRR6744787,796010
SRR6744788,12281883
SRR6744789,372888
SRR6744791,117788
SRR6744792,2464987
SRR6744795,88217
SRR6744797,3648594
SRR6744798,423942
SRR6744799,1195826
SRR6744801,428092
SRR6744802,5480946
SRR6744806,958381
SRR6744807,129036
SRR6744808,304848
SRR6744810,42152
SRR6744811,552293
SRR6744812,295564
SRR6744813,98914
SRR6744814,50188
SRR6744816,194238
SRR6744817,126062
SRR6744818,2570407
SRR6744820,235952
SRR6744821,264612
SRR6744822,163751
SRR6744823,225803
SRR6744824,7658203
SRR6744825,333972
SRR6744827,77017
SRR6744828,214109
SRR6744830,811147
SRR6744831,72332
SRR6744834,1180543
SRR6744835,62945
SRR6744836,293758
SRR6744837,270134
SRR6744838,4826333
SRR6744839,172858
SRR6744840,76853
SRR6744841,423223
SRR6744843,3870436
SRR6744844,218448
SRR6744845,150740
SRR6744846,472020
SRR6744847,158886
SRR6744848,106259
SRR6744849,4748305
SRR6744850,194570
SRR6744851,718795
SRR6744852,5435479
SRR6744853,70053
SRR6744854,15683
SRR6744855,668473
SRR6744856,36444
SRR6744857,1092563
SRR6744861,357499
SRR6744863,78157
SRR6744864,1247313
SRR6744865,238031
SRR6744867,598765
SRR6744868,17498
SRR6744869,2238673
SRR6744870,2126171
SRR6744871,10259634
SRR6744872,245482
SRR6744873,398809
SRR6744874,105377
SRR6744876,3349121
SRR6744879,235386
SRR6744880,251881
SRR6744881,355335
SRR6744882,2357402
SRR6744885,2851816
SRR6744886,972969
SRR6744887,62355
SRR6744888,398158
SRR6744889,123210
SRR6744890,83283
SRR6744891,64651
SRR6744892,195131
SRR6744893,1243802
SRR6744895,218899
SRR6744899,27366
SRR6744900,1142237
SRR6744903,28193103
SRR6744904,1070694
SRR6744905,652307
SRR6744906,2311942
SRR6744907,283932
SRR6744908,140678
SRR6744909,105941
SRR6744910,1267337
SRR6744911,157531
SRR6744912,335095
SRR6744913,318740
SRR6744915,6122643
SRR6744919,443147
SRR6744920,56760
SRR6744921,96781
SRR6744922,61453
SRR6744923,2749347
SRR6744924,107920
SRR6744927,2124404
SRR6744929,2048272
SRR6744932,244606
SRR6744933,3097292
SRR6744934,478625
SRR6744935,3697976
SRR6744936,861047
SRR6744937,343558
SRR6744938,542961
SRR6744939,476806
SRR6744942,229557
SRR6744943,1125180
SRR6744944,752797
SRR6744946,697120
SRR6744947,3164152
SRR6744948,472234
SRR6744949,25562
SRR6744950,208554
SRR6744951,558709
SRR6744952,1101632
SRR6744953,67948
SRR6744954,126350
SRR6744956,190365
SRR6744957,438115
SRR6744958,92811
SRR6744959,3678
SRR6744960,6275
SRR6744961,42337
SRR6744963,316648
SRR6744964,526127
SRR6744965,492382
SRR6744966,297813
SRR6744967,56190
SRR6744968,397336
SRR6744969,59197
SRR6744970,460381
SRR6744974,336860
SRR6744975,63764
SRR6744978,3653091
SRR6744979,69498
SRR6744982,4287120
SRR6744983,54755
SRR6744984,5153867
SRR6744986,5926826
SRR6744987,293481
SRR6744988,97990
SRR6744989,63646
SRR6744990,233226
SRR6744993,687932
SRR6744994,155880
SRR6744995,601176
SRR6744996,153980
SRR6744997,81126
SRR6745000,461417
SRR6745002,185362
SRR6745003,1053618
SRR6745005,557179
SRR6745006,50110
SRR6745007,218271
SRR6745008,911893
SRR6745009,298141
SRR6745010,87567
SRR6745011,79075
SRR6745012,6033511
SRR6745013,1472063
SRR6745014,78857
SRR6745015,385023
SRR6745016,147920
SRR6745017,171941
SRR6745018,64711
SRR6745019,167349
SRR6745020,3379773
SRR6745021,549743
SRR6745022,534188
SRR6745023,97747
SRR6745024,141522
SRR6745025,862816
SRR6745026,85085
SRR6745027,303895
SRR6745028,108181
SRR6745029,1463322
SRR6745030,1117423
SRR6745031,1752003
SRR6745032,76034
SRR6745033,500679
SRR6745034,502224
SRR6745035,36271
SRR6745036,80337
SRR6745037,41409
SRR6745038,76482
SRR6745039,97195
SRR6745040,166945
SRR6745041,235887
SRR6745042,327118
SRR6745043,109743
SRR6745044,371530
SRR6745045,4938255
SRR6745046,98036
SRR6745047,141055
SRR6745048,331284
SRR6745049,100606
SRR6745050,227580
SRR6745051,257007
SRR6745052,53502
SRR6745053,377605
SRR6745054,790225
SRR6745055,68885
SRR6745056,92643
SRR6745057,77725
SRR6745058,80817
SRR6745059,343344
SRR6745060,83791
SRR6745061,85284
SRR6745062,178272
SRR6745063,61029
SRR6745064,687703
SRR6745065,111450
SRR6745066,351357
SRR6745067,227008
SRR6745068,1404006
SRR6745069,89829
SRR6745070,208923
SRR6745071,340
SRR6745072,187231
SRR6745073,58860
SRR6745074,177991
SRR6745075,195939
SRR6745076,186941
SRR6745077,56157
SRR6745078,58209
SRR6745079,293116
SRR6745080,207246
SRR6745081,845528
SRR6745082,1180132
SRR6745083,69863
SRR6745084,64108
SRR6745085,456460
SRR6745086,64371
SRR6745087,5098953
SRR6745088,51140
SRR6745089,85365
SRR6745090,1537048
SRR6745091,71510
SRR6745092,132627
SRR6745093,80620
SRR6745094,90886
SRR6745095,72510
SRR6745096,107786
SRR6745097,273198
SRR6745098,4458424
SRR6745099,64893
SRR6745100,117573
SRR6745101,81802
SRR6745102,113948
SRR6745103,424949
SRR6745104,121208
SRR6745105,56036
SRR6745106,129450
SRR6745107,3575712
SRR6745108,179595
SRR6745109,100960
SRR6745110,113138
SRR6745111,235073
SRR6745112,88610
SRR6745113,1656945
SRR6745114,68802
SRR6745115,66108
SRR6745116,68918
SRR6745117,41926
SRR6745118,108856
SRR6745119,113297
SRR6745120,115276
SRR6745121,58654
SRR6745122,3084654
SRR6745123,647188
SRR6745124,731194
SRR6745125,471871
SRR6745126,455214
SRR6745127,75560
SRR6745128,412665
SRR6745129,146398
SRR6745130,880934
SRR6745131,342191
SRR6745132,76764
SRR6745133,244197
SRR6745134,1240914
SRR6745135,100332
SRR6745136,77367
SRR6745137,119625
SRR6745138,59387
SRR6745139,117640
SRR6745140,4180253
SRR6745141,50240
SRR6745142,1502064
SRR6745143,155452
SRR6745144,2371146
SRR6745145,98092
SRR6745146,102807
SRR6745147,341633
SRR6745148,98378
SRR6745149,736818
SRR6745150,153798
SRR6745151,1741684
SRR6745152,39957
SRR6745153,1635011
SRR6745154,5726421
SRR6745155,34584
SRR6745156,542827
SRR6745157,7112574
SRR6745158,64165
SRR6745159,35857
SRR6745160,144241
SRR6745161,25618
SRR6745162,2723594
SRR6745163,47800
SRR6745164,59948
SRR6745165,4016675
SRR6745166,148330
SRR6745167,111022
SRR6745168,117377
SRR6745169,9968703
SRR6745170,81992
SRR6745171,46431
SRR6745172,242093
SRR6745173,9805027
SRR6745174,45701
SRR6745175,328579
SRR6745176,95702
SRR6745177,59540
SRR6745178,44346
SRR6745179,5728448
SRR6745180,5670066
SRR6745181,76545
SRR6745182,83118
SRR6745183,1831699
SRR6745184,75614
SRR6745185,92392
SRR6745186,119539
SRR6745187,180120
SRR6745188,103586
SRR6745189,102146
SRR6745190,1314901
SRR6745191,97255
SRR6745192,464192
SRR6745193,6231461
SRR6745194,234569
SRR6745195,63414
SRR6745196,79685
SRR6745197,613395
SRR6745198,229234
SRR6745199,77668
SRR6745200,187121
SRR6745201,88474
SRR6745202,73840
SRR6745203,751298
SRR6745204,51467
SRR6745205,62316
SRR6745206,1984440
SRR6745207,77253
SRR6745208,292299
SRR6745209,92475
SRR6745210,64431
SRR6745211,289634
SRR6745212,419036
SRR6745213,24971
SRR6745214,164369
SRR6745215,185246
SRR6745216,90635
SRR6745217,176318
SRR6745218,1145669
SRR6745219,74063
SRR6745220,71779
SRR6745221,58040
SRR6745222,61464
SRR6745223,120440
SRR6745224,49449
SRR6745225,65432
SRR6745226,97975
SRR6745227,138386
SRR6745228,63255
SRR6745229,72663
SRR6745230,506394
SRR6745231,187931
SRR6745232,47276
SRR6745233,188001
SRR6745234,292949
SRR6745235,253563
SRR6745236,100410
SRR6745237,70147
SRR6745238,121522
SRR6745239,485450
SRR6745240,1127377
SRR6745241,1714137
SRR6745242,108552
SRR6745243,16067
SRR6745244,101371
SRR6745245,4968838
SRR6745246,99184
SRR6745247,161699
SRR6745248,107244
SRR6745249,125711
SRR6745250,110569
SRR6745251,569162
SRR6745252,5810051
SRR6745253,55218
SRR6745254,281860
SRR6745255,165218
SRR6745256,47214
SRR6745257,393931
SRR6745258,164289
SRR6745259,169499
SRR6745260,41930
SRR6745261,140552
SRR6745262,3637000
SRR6745263,39021
SRR6745264,107367
SRR6745265,109752
SRR6745266,182639
SRR6745267,52806
SRR6745268,63822
SRR6745269,82779
SRR6745270,363808
SRR6745271,85469
SRR6745272,152301
SRR6745273,338870
SRR6745274,56964
SRR6745275,71153
SRR6745276,24979
SRR6745277,2985182
SRR6745278,599318
SRR6745279,161270
SRR6745280,106375
SRR6745281,89347
SRR6745282,135801
SRR6745283,68978